ID,TE,NPP,Light,SO2,NO2,LSTV,X,Y,name1,name2,CODE,cluster
41526.0,5811657.29773,409.5,6.0,153.101821899,3672.20581055,1561.625,478685.659452,3712055.49709,山西省,山西,14.0,5
41527.0,95605.4287629,429.0,0.0,153.101821899,3672.20581055,3376.3125,488685.659452,3712055.49709,山西省,山西,14.0,0
41528.0,85927.5056861,486.700012207,0.0,132.660888672,3430.58325195,4063.0625,498685.659452,3712055.49709,山西省,山西,14.0,0
41529.0,215598.556178,505.599975586,8.0,132.660888672,3430.58325195,4126.375,508685.659452,3712055.49709,山西省,山西,14.0,0
41530.0,24754.126034,460.299987793,0.0,132.660888672,3430.58325195,3756.5,518685.659452,3712055.49709,山西省,山西,14.0,0
41531.0,29620.069692,443.399993896,20.0,151.005004883,3429.73413086,418.5625,528685.659452,3712055.49709,山西省,山西,14.0,0
41911.0,30525.3220153,457.799987793,0.0,153.101821899,3672.20581055,-5495.6875,478685.659452,3722055.49709,山西省,山西,14.0,0
41912.0,1450.61655019,261.700012207,0.0,153.101821899,3672.20581055,-10857.625,488685.659452,3722055.49709,山西省,山西,14.0,0
41913.0,3477.04207452,421.299987793,0.0,132.660888672,3430.58325195,-10965.1875,498685.659452,3722055.49709,山西省,山西,14.0,0
41914.0,20445.0008093,469.799987793,9.0,132.660888672,3430.58325195,-4535.6875,508685.659452,3722055.49709,山西省,山西,14.0,0
41915.0,49995.9210369,452.299987793,6.0,132.660888672,3430.58325195,-1548.25,518685.659452,3722055.49709,山西省,山西,14.0,0
41916.0,15850.9277896,469.100006104,0.0,151.005004883,3429.73413086,3189.5,528685.659452,3722055.49709,山西省,山西,14.0,0
41917.0,244008.706718,476.699981689,28.0,151.005004883,3429.73413086,4044.125,538685.659452,3722055.49709,山西省,山西,14.0,0
42295.0,54250.6911329,432.600006104,10.0,214.241821289,3326.91259766,7130.875,478685.659452,3732055.49709,山西省,山西,14.0,0
42296.0,3769660.12259,405.399963379,10.0,214.241821289,3326.91259766,3348.875,488685.659452,3732055.49709,山西省,山西,14.0,3
42297.0,23978.0141299,370.199981689,0.0,196.303512573,3528.19873047,1264.6875,498685.659452,3732055.49709,山西省,山西,14.0,0
42298.0,46091.028647,508.799957275,0.0,196.303512573,3528.19873047,1444.8125,508685.659452,3732055.49709,山西省,山西,14.0,0
42299.0,1677.3135542,406.899993896,0.0,196.303512573,3528.19873047,-317.5625,518685.659452,3732055.49709,山西省,山西,14.0,0
42300.0,5295.15663774,443.799987793,0.0,183.037124634,3502.90234375,-11085.6875,528685.659452,3732055.49709,山西省,山西,14.0,0
42301.0,40668.4849882,451.899963379,5.0,183.037124634,3502.90234375,-13661.9375,538685.659452,3732055.49709,山西省,山西,14.0,0
42302.0,34295.7945384,480.0,46.0,158.891265869,3316.52587891,1285.5,548685.659452,3732055.49709,山西省,山西,14.0,0
42303.0,968556.102803,0.0,14.0,158.891265869,3316.52587891,1942.4375,558685.659452,3732055.49709,山西省,山西,14.0,4
42679.0,7638.31937356,468.299987793,6.0,214.241821289,3326.91259766,-3712.625,478685.659452,3742055.49709,山西省,山西,14.0,0
42680.0,64252.6801614,475.399993896,9.0,214.241821289,3326.91259766,3348.3125,488685.659452,3742055.49709,山西省,山西,14.0,0
42681.0,68510.5317196,434.299987793,5.0,196.303512573,3528.19873047,1410.1875,498685.659452,3742055.49709,山西省,山西,14.0,0
42682.0,100126.547972,331.700012207,5.0,196.303512573,3528.19873047,4485.875,508685.659452,3742055.49709,山西省,山西,14.0,0
42683.0,50573.996057,400.299987793,7.0,196.303512573,3528.19873047,4300.875,518685.659452,3742055.49709,山西省,山西,14.0,0
42684.0,679037.598692,352.699981689,0.0,183.037124634,3502.90234375,6671.0,528685.659452,3742055.49709,山西省,山西,14.0,0
42685.0,22332.1841654,394.5,0.0,183.037124634,3502.90234375,-688.0,538685.659452,3742055.49709,山西省,山西,14.0,0
42686.0,35145.4092692,235.100006104,6.0,158.891265869,3316.52587891,-1991.75,548685.659452,3742055.49709,山西省,山西,14.0,0
42687.0,893132.054827,425.899993896,5.0,158.891265869,3316.52587891,3806.9375,558685.659452,3742055.49709,山西省,山西,14.0,4
42688.0,10355.1164805,438.299987793,5.0,158.891265869,3316.52587891,-5493.25,568685.659452,3742055.49709,山西省,山西,14.0,0
42689.0,8700.53723365,333.799987793,0.0,171.151565552,2879.80029297,1750.1875,578685.659452,3742055.49709,山西省,山西,14.0,0
42690.0,24987.0726702,492.199981689,0.0,171.151565552,2879.80029297,3397.5625,588685.659452,3742055.49709,山西省,山西,14.0,0
43063.0,10367.3042509,298.100006104,5.0,214.241821289,3326.91259766,-4080.6875,478685.659452,3752055.49709,山西省,山西,14.0,0
43064.0,34202.6690777,452.399993896,6.0,214.241821289,3326.91259766,-354.6875,488685.659452,3752055.49709,山西省,山西,14.0,0
43065.0,46278.267086,512.799987793,5.0,196.303512573,3528.19873047,-422.75,498685.659452,3752055.49709,山西省,山西,14.0,0
43066.0,65421.2754636,440.799987793,10.0,196.303512573,3528.19873047,3193.125,508685.659452,3752055.49709,山西省,山西,14.0,0
43067.0,76223.0810462,434.299987793,6.0,196.303512573,3528.19873047,1349.875,518685.659452,3752055.49709,山西省,山西,14.0,0
43068.0,78335.8623986,389.399963379,12.0,183.037124634,3502.90234375,2616.375,528685.659452,3752055.49709,山西省,山西,14.0,0
43069.0,1039778.49248,0.0,11.0,183.037124634,3502.90234375,-2523.375,538685.659452,3752055.49709,山西省,山西,14.0,4
43070.0,49142.8403717,333.599975586,6.0,158.891265869,3316.52587891,-356.5,548685.659452,3752055.49709,山西省,山西,14.0,0
43071.0,61217.7097302,426.399963379,0.0,158.891265869,3316.52587891,-165.4375,558685.659452,3752055.49709,山西省,山西,14.0,0
43072.0,208.372269206,0.0,0.0,158.891265869,3316.52587891,-8211.25,568685.659452,3752055.49709,山西省,山西,14.0,0
43073.0,277.829692274,167.099990845,0.0,171.151565552,2879.80029297,-3768.625,578685.659452,3752055.49709,山西省,山西,14.0,0
43074.0,2667.94870682,315.899993896,0.0,171.151565552,2879.80029297,1735.0,588685.659452,3752055.49709,山西省,山西,14.0,0
43445.0,22489.4955766,501.899963379,5.0,187.114944458,2927.42016602,-1042.6875,488685.659452,3762055.49709,山西省,山西,14.0,0
43446.0,457453.074556,507.899993896,6.0,173.935180664,3801.85620117,254.75,498685.659452,3762055.49709,山西省,山西,14.0,0
43447.0,64120.047109,487.600006104,7.0,173.935180664,3801.85620117,-1359.0625,508685.659452,3762055.49709,山西省,山西,14.0,0
43448.0,3594557.59767,0.0,7.0,173.935180664,3801.85620117,1328.5625,518685.659452,3762055.49709,山西省,山西,14.0,3
43449.0,97004.4263568,429.800018311,28.0,168.758575439,3788.75683594,1022.625,528685.659452,3762055.49709,山西省,山西,14.0,0
43450.0,932610.976019,436.299987793,43.0,168.758575439,3788.75683594,2317.75,538685.659452,3762055.49709,山西省,山西,14.0,4
43451.0,74538.0234326,463.799987793,9.0,153.943634033,3712.44262695,3695.625,548685.659452,3762055.49709,山西省,山西,14.0,0
43452.0,22831.0677733,420.600006104,0.0,153.943634033,3712.44262695,2828.6875,558685.659452,3762055.49709,山西省,山西,14.0,0
43453.0,2404.67718188,405.200012207,0.0,153.943634033,3712.44262695,-35.875,568685.659452,3762055.49709,山西省,山西,14.0,0
43454.0,493.625894459,162.100006104,0.0,136.764190674,3374.48754883,-3078.6875,578685.659452,3762055.49709,山西省,山西,14.0,0
43455.0,492.498071118,264.799987793,0.0,136.764190674,3374.48754883,-5070.5,588685.659452,3762055.49709,山西省,山西,14.0,0
43456.0,625.116807617,113.0,0.0,136.764190674,3374.48754883,-5137.375,598685.659452,3762055.49709,山西省,山西,14.0,0
43457.0,4094.77656298,405.599975586,0.0,130.388793945,2949.98803711,-49.25,608685.659452,3762055.49709,山西省,山西,14.0,0
43823.0,90640.7193695,529.399963379,5.0,187.114944458,2927.42016602,-232.9375,488685.659452,3772055.49709,山西省,山西,14.0,0
43824.0,63207.558269,525.999938965,6.0,173.935180664,3801.85620117,725.6875,498685.659452,3772055.49709,山西省,山西,14.0,0
43825.0,35077.0485146,510.0,10.0,173.935180664,3801.85620117,-2343.25,508685.659452,3772055.49709,山西省,山西,14.0,0
43826.0,67550.5111321,449.199981689,7.0,173.935180664,3801.85620117,-2890.1875,518685.659452,3772055.49709,山西省,山西,14.0,0
43827.0,118327.10419,395.799987793,9.0,168.758575439,3788.75683594,-381.4375,528685.659452,3772055.49709,山西省,山西,14.0,0
43828.0,77784.5862714,373.899993896,15.0,168.758575439,3788.75683594,1360.1875,538685.659452,3772055.49709,山西省,山西,14.0,0
43829.0,99626.2601962,356.599975586,10.0,153.943634033,3712.44262695,-882.0625,548685.659452,3772055.49709,山西省,山西,14.0,0
43830.0,85551.7103685,448.299987793,5.0,153.943634033,3712.44262695,4522.375,558685.659452,3772055.49709,山西省,山西,14.0,0
43831.0,228595.182978,400.100006104,0.0,153.943634033,3712.44262695,-1502.0,568685.659452,3772055.49709,山西省,山西,14.0,0
43832.0,1363.45967241,122.099998474,0.0,136.764190674,3374.48754883,-6004.3125,578685.659452,3772055.49709,山西省,山西,14.0,0
43833.0,1571.12086419,109.199996948,0.0,136.764190674,3374.48754883,-2041.0,588685.659452,3772055.49709,山西省,山西,14.0,0
43834.0,2083.72269206,436.699981689,0.0,136.764190674,3374.48754883,2488.75,598685.659452,3772055.49709,山西省,山西,14.0,0
43835.0,8903.7544678,445.399993896,0.0,130.388793945,2949.98803711,7575.0,608685.659452,3772055.49709,山西省,山西,14.0,0
43836.0,30958.9630052,413.199981689,0.0,130.388793945,2949.98803711,6319.9375,618685.659452,3772055.49709,山西省,山西,14.0,0
43837.0,29523.6194216,340.799987793,0.0,130.388793945,2949.98803711,5288.8125,628685.659452,3772055.49709,山西省,山西,14.0,0
44200.0,41294.6838278,174.699996948,6.0,187.114944458,2927.42016602,-2587.3125,488685.659452,3782055.49709,山西省,山西,14.0,0
44201.0,91028.3015045,370.700012207,0.0,173.935180664,3801.85620117,261.0,498685.659452,3782055.49709,山西省,山西,14.0,0
44202.0,69542.6843276,430.5,6.0,173.935180664,3801.85620117,902.125,508685.659452,3782055.49709,山西省,山西,14.0,0
44203.0,18573.4386583,436.499969482,0.0,173.935180664,3801.85620117,1940.5625,518685.659452,3782055.49709,山西省,山西,14.0,0
44204.0,40258.391883,427.199981689,6.0,168.758575439,3788.75683594,3178.5625,528685.659452,3782055.49709,山西省,山西,14.0,0
44205.0,60125.5004041,360.600006104,6.0,168.758575439,3788.75683594,6186.75,538685.659452,3782055.49709,山西省,山西,14.0,0
44206.0,67114.482901,404.600006104,5.0,153.943634033,3712.44262695,1146.0625,548685.659452,3782055.49709,山西省,山西,14.0,0
44207.0,60878.047302,407.399993896,7.0,153.943634033,3712.44262695,4019.875,558685.659452,3782055.49709,山西省,山西,14.0,0
44208.0,5324.0785573,404.699981689,0.0,153.943634033,3712.44262695,-1088.9375,568685.659452,3782055.49709,山西省,山西,14.0,0
44209.0,1235.16388753,422.799987793,6.0,136.764190674,3374.48754883,-6229.875,578685.659452,3782055.49709,山西省,山西,14.0,0
44210.0,7018.35858452,259.599975586,0.0,136.764190674,3374.48754883,-703.25,588685.659452,3782055.49709,山西省,山西,14.0,0
