ID,TE,NPP,Light,SO2,NO2,LSTV,X,Y,name1,name2,CODE,cluster
2643.0,0.0,1078.90002441,39.0,0.0,0.0,548175.25,1638685.65945,2412055.49709,台湾省,台湾,71.0,0
2818.0,0.0,0.0,41.0,0.0,0.0,321263.3125,1628685.65945,2422055.49709,台湾省,台湾,71.0,0
2819.0,0.0,1102.29992676,10.0,0.0,0.0,322949.5625,1638685.65945,2422055.49709,台湾省,台湾,71.0,0
3002.0,0.0,1109.59997559,0.0,0.0,0.0,217271.125,1628685.65945,2432055.49709,台湾省,台湾,71.0,0
3003.0,0.0,1108.40002441,5.0,0.0,0.0,324607.25,1638685.65945,2432055.49709,台湾省,台湾,71.0,0
3187.0,0.0,0.0,0.0,0.0,0.0,0.0,1588685.65945,2442055.49709,台湾省,台湾,71.0,0
3189.0,0.0,1082.29992676,0.0,0.0,1007.95275879,109245.0,1628685.65945,2442055.49709,台湾省,台湾,71.0,0
3190.0,0.0,1083.09997559,0.0,0.0,1007.95275879,324101.125,1638685.65945,2442055.49709,台湾省,台湾,71.0,0
3377.0,0.0,1071.80004883,0.0,0.0,1007.95275879,112486.375,1618685.65945,2452055.49709,台湾省,台湾,71.0,0
3378.0,0.0,590.699951172,0.0,0.0,1007.95275879,-3695.625,1628685.65945,2452055.49709,台湾省,台湾,71.0,0
3379.0,0.0,1132.49987793,6.0,0.0,1007.95275879,321807.1875,1638685.65945,2452055.49709,台湾省,台湾,71.0,0
3565.0,0.0,0.0,0.0,23.7800350189,1227.38720703,330826.375,1588685.65945,2462055.49709,台湾省,台湾,71.0,0
3566.0,0.0,0.0,51.0,23.7800350189,1227.38720703,219576.125,1598685.65945,2462055.49709,台湾省,台湾,71.0,0
3567.0,0.0,577.5,12.0,23.7800350189,1227.38720703,114796.1875,1608685.65945,2462055.49709,台湾省,台湾,71.0,0
3568.0,0.0,1061.99987793,0.0,0.0,1505.73327637,4632.4375,1618685.65945,2462055.49709,台湾省,台湾,71.0,0
3569.0,0.0,694.799987793,0.0,0.0,1505.73327637,-2513.0625,1628685.65945,2462055.49709,台湾省,台湾,71.0,0
3570.0,0.0,1114.59997559,0.0,0.0,1505.73327637,324215.4375,1638685.65945,2462055.49709,台湾省,台湾,71.0,0
3756.0,0.0,0.0,63.0,33.9423828125,1043.36828613,221412.625,1578685.65945,2472055.49709,台湾省,台湾,71.0,0
3757.0,0.0,0.0,61.0,23.7800350189,1227.38720703,2623.1875,1588685.65945,2472055.49709,台湾省,台湾,71.0,0
3758.0,0.0,0.0,54.0,23.7800350189,1227.38720703,3327.4375,1598685.65945,2472055.49709,台湾省,台湾,71.0,0
3759.0,0.0,718.100036621,12.0,23.7800350189,1227.38720703,10856.1875,1608685.65945,2472055.49709,台湾省,台湾,71.0,0
3760.0,0.0,1110.39990234,0.0,0.0,1505.73327637,-12388.375,1618685.65945,2472055.49709,台湾省,台湾,71.0,0
3761.0,0.0,312.0,0.0,0.0,1505.73327637,-1166.125,1628685.65945,2472055.49709,台湾省,台湾,71.0,0
3762.0,0.0,595.999938965,0.0,0.0,1505.73327637,328044.375,1638685.65945,2472055.49709,台湾省,台湾,71.0,0
3949.0,0.0,0.0,63.0,33.9423828125,1043.36828613,114359.9375,1578685.65945,2482055.49709,台湾省,台湾,71.0,0
3950.0,0.0,1091.40002441,62.0,23.7800350189,1227.38720703,-3188.1875,1588685.65945,2482055.49709,台湾省,台湾,71.0,0
