ID,TE,NPP,Light,SO2,NO2,LSTV,X,Y,name1,name2,CODE,cluster
42726.0,36509.9848009,372.100006104,6.0,162.954025269,4273.22021484,232.4375,948685.659452,3742055.49709,山东省,山东,37.0,0
42727.0,61795.0075156,416.299987793,6.0,162.954025269,4273.22021484,464.75,958685.659452,3742055.49709,山东省,山东,37.0,0
42728.0,26550.894591,406.0,5.0,159.110534668,4010.41845703,-953.3125,968685.659452,3742055.49709,山东省,山东,37.0,0
42729.0,26866.4025995,421.599975586,5.0,159.110534668,4010.41845703,-1867.625,978685.659452,3742055.49709,山东省,山东,37.0,0
43109.0,56157.5462744,426.200012207,7.0,162.954025269,4273.22021484,932.0625,938685.659452,3752055.49709,山东省,山东,37.0,0
43110.0,20546.7554677,412.599975586,5.0,162.954025269,4273.22021484,568.8125,948685.659452,3752055.49709,山东省,山东,37.0,0
43111.0,67733.9885846,379.299987793,0.0,162.954025269,4273.22021484,160.5625,958685.659452,3752055.49709,山东省,山东,37.0,0
43112.0,59844.6030573,300.100006104,8.0,159.110534668,4010.41845703,-946.0625,968685.659452,3752055.49709,山东省,山东,37.0,0
43113.0,20141.3437297,393.899963379,0.0,159.110534668,4010.41845703,1553.125,978685.659452,3752055.49709,山东省,山东,37.0,0
43114.0,20522.573057,310.299987793,11.0,159.110534668,4010.41845703,871.0625,988685.659452,3752055.49709,山东省,山东,37.0,0
43115.0,24743.8649258,352.0,6.0,221.494888306,3952.88134766,928.9375,998685.659452,3752055.49709,山东省,山东,37.0,0
43116.0,23882.2485252,342.199981689,5.0,221.494888306,3952.88134766,170.3125,1008685.65945,3752055.49709,山东省,山东,37.0,0
43117.0,20291.359442,422.299987793,6.0,221.494888306,3952.88134766,685.0,1018685.65945,3752055.49709,山东省,山东,37.0,0
43125.0,776.945682621,36.7999992371,0.0,203.686843872,5128.06347656,-13408.3125,1098685.65945,3752055.49709,山东省,山东,37.0,0
43127.0,3886657.47375,419.399963379,11.0,227.284576416,5782.98974609,2534.9375,1118685.65945,3752055.49709,山东省,山东,37.0,2
43128.0,2605541.79722,506.5,6.0,227.284576416,5782.98974609,-369.3125,1128685.65945,3752055.49709,山东省,山东,37.0,3
43129.0,2015497.20162,484.899993896,8.0,216.162017822,5770.21533203,-366.75,1138685.65945,3752055.49709,山东省,山东,37.0,3
43134.0,12928.1011648,442.5,12.0,190.097305298,5371.17919922,-1974.0625,1188685.65945,3752055.49709,山东省,山东,37.0,0
43135.0,97023.8963322,486.399963379,27.0,130.850784302,4678.36816406,268.3125,1198685.65945,3752055.49709,山东省,山东,37.0,0
43490.0,22551.0824265,394.699981689,9.0,195.696304321,4634.50585938,-1043.875,938685.659452,3762055.49709,山东省,山东,37.0,0
43491.0,252591.369917,0.0,7.0,195.696304321,4634.50585938,2039.125,948685.659452,3762055.49709,山东省,山东,37.0,0
43492.0,84612.2206065,391.599975586,6.0,195.696304321,4634.50585938,462.3125,958685.659452,3762055.49709,山东省,山东,37.0,0
43493.0,70177.0170221,385.600006104,5.0,190.235321045,4749.96191406,50.5,968685.659452,3762055.49709,山东省,山东,37.0,0
43494.0,25286.1998085,396.599975586,9.0,190.235321045,4749.96191406,-778.6875,978685.659452,3762055.49709,山东省,山东,37.0,0
43495.0,82974.6464016,336.600006104,10.0,190.235321045,4749.96191406,-341.8125,988685.659452,3762055.49709,山东省,山东,37.0,0
43496.0,252100.605881,194.300003052,6.0,236.251083374,4250.87304688,2051.3125,998685.659452,3762055.49709,山东省,山东,37.0,0
43497.0,35355.1588259,304.800018311,0.0,236.251083374,4250.87304688,717.8125,1008685.65945,3762055.49709,山东省,山东,37.0,0
43498.0,25469.7146873,359.099975586,0.0,236.251083374,4250.87304688,-890.5625,1018685.65945,3762055.49709,山东省,山东,37.0,0
43505.0,4524.26573711,397.899993896,0.0,267.559387207,5447.19482422,-1583.5,1088685.65945,3762055.49709,山东省,山东,37.0,0
43506.0,6020.61145189,180.899993896,0.0,267.559387207,5447.19482422,-7647.9375,1098685.65945,3762055.49709,山东省,山东,37.0,0
43507.0,74890.890058,437.599975586,15.0,253.248260498,5687.76904297,-4945.6875,1108685.65945,3762055.49709,山东省,山东,37.0,0
43508.0,49304.6025945,428.099975586,6.0,253.248260498,5687.76904297,-4100.1875,1118685.65945,3762055.49709,山东省,山东,37.0,0
43509.0,42308.162981,440.899993896,9.0,253.248260498,5687.76904297,306.625,1128685.65945,3762055.49709,山东省,山东,37.0,0
43510.0,820970.976604,526.599975586,48.0,257.828765869,5422.46875,-1843.1875,1138685.65945,3762055.49709,山东省,山东,37.0,6
43511.0,609105.325323,446.399993896,7.0,257.828765869,5422.46875,-894.875,1148685.65945,3762055.49709,山东省,山东,37.0,6
43515.0,58098.7690868,491.799987793,8.0,213.590667725,5412.45996094,-947.75,1188685.65945,3762055.49709,山东省,山东,37.0,0
43516.0,80451.3559052,434.199981689,7.0,180.784744263,5236.00634766,-2231.3125,1198685.65945,3762055.49709,山东省,山东,37.0,0
43866.0,23252.879195,351.600006104,8.0,206.550674438,4582.953125,-806.625,918685.659452,3772055.49709,山东省,山东,37.0,0
43867.0,19504.86836,391.399993896,6.0,206.550674438,4582.953125,451.375,928685.659452,3772055.49709,山东省,山东,37.0,0
43868.0,29147.2522279,360.600006104,23.0,195.696304321,4634.50585938,-259.6875,938685.659452,3772055.49709,山东省,山东,37.0,0
43869.0,146318.609912,305.5,8.0,195.696304321,4634.50585938,-491.5625,948685.659452,3772055.49709,山东省,山东,37.0,0
43870.0,40084.42883,410.5,6.0,195.696304321,4634.50585938,-1630.3125,958685.659452,3772055.49709,山东省,山东,37.0,0
43871.0,18140.2672668,412.5,7.0,190.235321045,4749.96191406,39.5625,968685.659452,3772055.49709,山东省,山东,37.0,0
43872.0,15641.8306235,337.799987793,0.0,190.235321045,4749.96191406,346.125,978685.659452,3772055.49709,山东省,山东,37.0,0
43873.0,79213.0564541,414.5,40.0,190.235321045,4749.96191406,-690.4375,988685.659452,3772055.49709,山东省,山东,37.0,0
43874.0,113527.831384,344.699981689,7.0,236.251083374,4250.87304688,-1319.5,998685.659452,3772055.49709,山东省,山东,37.0,0
43875.0,14945.6347406,346.699981689,5.0,236.251083374,4250.87304688,363.125,1008685.65945,3772055.49709,山东省,山东,37.0,0
43876.0,17746.3724107,371.800018311,5.0,236.251083374,4250.87304688,-843.125,1018685.65945,3772055.49709,山东省,山东,37.0,0
43883.0,8548.29016276,379.199981689,5.0,267.559387207,5447.19482422,-252.5,1088685.65945,3772055.49709,山东省,山东,37.0,0
43884.0,2149295.14219,422.199981689,19.0,267.559387207,5447.19482422,4869.125,1098685.65945,3772055.49709,山东省,山东,37.0,3
43885.0,67784.2845471,403.299987793,10.0,253.248260498,5687.76904297,4215.1875,1108685.65945,3772055.49709,山东省,山东,37.0,0
43886.0,171631.83604,332.899993896,11.0,253.248260498,5687.76904297,2805.5625,1118685.65945,3772055.49709,山东省,山东,37.0,0
43887.0,2664486.18114,377.099975586,7.0,253.248260498,5687.76904297,1918.6875,1128685.65945,3772055.49709,山东省,山东,37.0,3
43888.0,22966.8884849,385.0,8.0,257.828765869,5422.46875,-743.3125,1138685.65945,3772055.49709,山东省,山东,37.0,0
43889.0,20801.1506757,450.399993896,6.0,257.828765869,5422.46875,964.1875,1148685.65945,3772055.49709,山东省,山东,37.0,0
43892.0,16037.4630195,456.700012207,8.0,213.590667725,5412.45996094,2074.4375,1178685.65945,3772055.49709,山东省,山东,37.0,0
43893.0,85852.3514252,426.699981689,11.0,213.590667725,5412.45996094,-1026.875,1188685.65945,3772055.49709,山东省,山东,37.0,0
43894.0,2265366.0557,504.700012207,23.0,180.784744263,5236.00634766,691.625,1198685.65945,3772055.49709,山东省,山东,37.0,3
44240.0,21831.1093735,405.399963379,5.0,209.059280396,4649.15332031,-135.125,888685.659452,3782055.49709,山东省,山东,37.0,0
44241.0,29724.6293639,399.0,10.0,209.059280396,4649.15332031,1439.9375,898685.659452,3782055.49709,山东省,山东,37.0,0
44242.0,225154.689429,398.199981689,15.0,206.550674438,4582.953125,326.75,908685.659452,3782055.49709,山东省,山东,37.0,0
44243.0,40751.5146809,396.799987793,6.0,206.550674438,4582.953125,1874.25,918685.659452,3782055.49709,山东省,山东,37.0,0
44244.0,26189.1224424,432.199981689,6.0,206.550674438,4582.953125,759.75,928685.659452,3782055.49709,山东省,山东,37.0,0
44245.0,19922.2486447,397.600006104,10.0,195.696304321,4634.50585938,362.0,938685.659452,3782055.49709,山东省,山东,37.0,0
44246.0,70022.905464,411.899993896,8.0,195.696304321,4634.50585938,1173.5,948685.659452,3782055.49709,山东省,山东,37.0,0
44247.0,20981.5461803,393.599975586,6.0,195.696304321,4634.50585938,183.75,958685.659452,3782055.49709,山东省,山东,37.0,0
44248.0,40513.0145291,405.799987793,18.0,190.235321045,4749.96191406,-219.0,968685.659452,3782055.49709,山东省,山东,37.0,0
44249.0,197736.328082,386.5,7.0,190.235321045,4749.96191406,386.375,978685.659452,3782055.49709,山东省,山东,37.0,0
44250.0,10135.3682999,359.5,6.0,190.235321045,4749.96191406,-1461.3125,988685.659452,3782055.49709,山东省,山东,37.0,0
44251.0,46666.6513256,204.699996948,7.0,236.251083374,4250.87304688,-393.5625,998685.659452,3782055.49709,山东省,山东,37.0,0
44252.0,19770.83654,346.499969482,6.0,236.251083374,4250.87304688,1071.3125,1008685.65945,3782055.49709,山东省,山东,37.0,0
