,cluster,NPP,Light,SO2,NO2,LSTV,X,Y,code,yTest,yPred
0,0,370.100006104,0.0,31.0025920868,1838.04101563,2882.3125,618685.659452,4172055.49709,0,14032.5739509,15429.1101428
1,0,0.0,0.0,2.52501058578,149.3959198,9334.9375,-1461314.34055,3112055.49709,0,0.0,2266.79538329
2,0,0.0,0.0,0.0,81.0195007324,-16046.875,-2151314.34055,4052055.49709,0,0.0,-1602.16515631
3,0,0.0,0.0,0.0,216.47416687,-2898.125,-1831314.34055,4172055.49709,0,0.0,-454.568184481
4,0,480.600006104,0.0,36.0649452209,2483.9543457,-503.125,998685.659452,3492055.49709,0,8270.51339122,22513.3119306
5,0,0.0,0.0,0.0,282.753997803,1132.9375,-2101314.34055,4252055.49709,0,0.0,-590.131229136
6,0,509.299987793,0.0,112.177093506,2762.22851563,266.4375,888685.659452,3492055.49709,0,9531.92460168,23362.9884714
7,0,681.700012207,0.0,0.0,1370.44921875,-5234.0625,1358685.65945,3272055.49709,0,4066.6075169,17058.3105154
8,0,209.099990845,0.0,0.0,655.900512695,653.3125,1358685.65945,5022055.49709,0,1480.43582806,6025.92195007
9,0,0.0,18.0,8.52155590057,538.732727051,1435.0625,-1691314.34055,4632055.49709,0,120.781385411,46141.7046611
10,0,277.299987793,0.0,0.0,163.740463257,-3697.4375,-351314.340548,3752055.49709,0,85.5245781698,3444.64916276
11,0,0.0,0.0,0.0,110.68611145,-1948.5,-1351314.34055,4212055.49709,0,0.0,-569.026705212
12,0,460.699981689,62.0,87.4395904541,2807.06665039,-2092.3125,1518685.65945,4652055.49709,0,212886.002128,178252.258568
13,0,212.0,0.0,2.6201300621,621.560058594,1977.0625,1188685.65945,4812055.49709,0,3787.83861055,6033.67621664
14,0,1319.59997559,0.0,7.95651102066,262.978607178,2635.9375,-1001314.34055,3052055.49709,0,0.0,8575.12966403
15,0,375.5,0.0,125.603492737,3430.28881836,-7639.4375,728685.659452,3972055.49709,0,1099.38207329,25894.5135088
16,0,770.199951172,7.0,0.0,326.107513428,5329.5625,-561314.340548,2542055.49709,0,3593.48130135,26729.8699596
17,0,44.7000007629,0.0,4.7597990036,216.076889038,-15126.1875,-481314.340548,3352055.49709,0,0.190680004656,3686.10280606
18,0,224.300003052,0.0,0.0,398.013916016,-214.125,888685.659452,4752055.49709,0,16699.4029722,4253.95207006
19,0,202.300003052,0.0,0.0,256.677154541,3785.0,-701314.340548,3102055.49709,0,0.0,4931.44459204
20,0,626.299987793,0.0,0.0,1513.36254883,-454.9375,1298685.65945,3272055.49709,0,2024.75739804,17771.6680043
21,0,15.2999992371,0.0,0.0,136.543457031,-73.0,-1311314.34055,3622055.49709,0,0.0,1201.47629485
22,0,0.0,0.0,0.0,293.829406738,0.0,-1571314.34055,5252055.49709,0,0.0,-2215.38470125
23,0,233.899993896,0.0,25.1348495483,497.749176025,-3320.375,1318685.65945,5412055.49709,0,0.0,3635.7451034
24,0,0.0,0.0,27.1160049438,847.605285645,163.0625,268685.659452,4312055.49709,0,0.0,6375.26736202
25,0,0.0,0.0,0.0,362.205993652,-1456.9375,-2361314.34055,4352055.49709,0,2173.67632346,-681.465262338
26,0,0.0,0.0,21.5644283295,570.443359375,439.8125,-141314.340548,4092055.49709,0,236.484194043,4456.55745515
27,0,0.0,0.0,0.0,230.5234375,732.4375,-1331314.34055,4332055.49709,0,0.0,0.417421814893
28,0,410.399993896,13.0,97.9231109619,3419.48071289,-3217.4375,1228685.65945,3592055.49709,0,7106.41235578,60812.4205576
29,0,0.0,0.0,0.287555515766,114.72946167,15094.5625,-1271314.34055,4092055.49709,0,0.0,-93.2823537314
30,0,461.999969482,9.0,12.5783452988,925.392883301,559.6875,118685.659452,3312055.49709,0,24771.1505445,33750.5860144
31,0,482.0,0.0,0.0,1581.27734375,2686.4375,878685.659452,3152055.49709,0,6542.77850713,17398.8404776
32,0,0.0,0.0,2.71400570869,562.475585938,10704.125,-1741314.34055,5052055.49709,0,3276.56274942,-118.58768065
33,0,12.8999996185,0.0,0.0,125.003448486,-1477.0,-1841314.34055,3552055.49709,0,0.0,489.999276204
34,0,336.399993896,0.0,20.8303451538,221.991119385,-5040.0625,-291314.340548,3542055.49709,0,0.279210006818,4393.65087378
35,0,0.0,0.0,0.0,0.0,0.0,1038685.65945,5802055.49709,0,7.34336373946,-1719.22174601
36,0,510.399993896,0.0,0.0,120.427520752,-11065.5,-571314.340548,2942055.49709,0,203.190379451,5661.93698872
37,0,496.099975586,0.0,3.30970859528,1398.39611816,-4009.5,1068685.65945,3342055.49709,0,10103.6329486,15930.9127907
38,0,0.0,0.0,5.46888875961,952.440917969,-1506.25,2128685.65945,5192055.49709,0,1025.66382462,7986.39210057
39,0,201.899993896,0.0,4.97341632843,330.3621521,-897.9375,-1671314.34055,5102055.49709,0,0.0,-1076.6796465
40,0,28.6000003815,0.0,0.0,156.051651001,-4961.0,-1091314.34055,3362055.49709,0,0.0,2354.39205315
41,0,0.0,0.0,0.0,162.370361328,-2459.5625,-1421314.34055,4232055.49709,0,0.0,-365.231120768
42,0,264.099975586,0.0,7.87660074234,337.474914551,-1321.875,1008685.65945,5452055.49709,0,0.0,2301.75659869
43,0,0.0,0.0,0.0,140.903518677,229.3125,-1081314.34055,4122055.49709,0,0.0,274.586582396
44,0,0.0,0.0,0.0,187.86529541,-22044.1875,-2051314.34055,3572055.49709,0,0.0,477.214110667
45,0,0.0,0.0,1.78595101833,561.945678711,5237.125,198685.659452,4442055.49709,0,3624.94142472,4309.81156603
46,0,0.0,0.0,0.0,142.574325562,2724.75,-661314.340548,3882055.49709,0,3157.22774943,1519.24695043
47,0,61.4000015259,0.0,10.8500328064,136.354049683,2423.5625,-1741314.34055,3302055.49709,0,0.0,1378.69269867
48,0,199.800003052,0.0,0.0,139.612792969,2107.25,-431314.340548,3852055.49709,0,3105.73632568,2638.52810957
49,0,279.799987793,7.0,0.0,603.260925293,1095.625,1358685.65945,5252055.49709,0,10474.4468478,22997.0490637
50,0,0.0,0.0,9.4204416275,1220.45800781,-376.5,-1291314.34055,4752055.49709,0,2838.69937207,5770.83745766
51,0,665.099975586,0.0,0.0,212.039779663,1228.6875,-231314.340548,3312055.49709,0,56.4884876062,6467.79039547
52,0,630.599975586,0.0,57.2689361572,850.372070313,411.25,438685.659452,2962055.49709,0,5994.2847351,11887.8784583
53,0,442.0,0.0,27.9485473633,1940.55541992,-1586.5625,1098685.65945,3362055.49709,0,2816.53233186,19174.9266896
54,0,248.899993896,0.0,0.0,216.000549316,-783.625,1228685.65945,5772055.49709,0,0.00312000000849,1040.47942528
55,0,645.0,5.0,117.303695679,3006.10424805,-2632.25,1398685.65945,4062055.49709,0,7949.36635885,37428.3703618
56,0,0.0,21.0,155.202575684,3531.171875,313037.4375,1308685.65945,4112055.49709,0,54596.7010803,78932.593442
57,0,0.0,0.0,0.0,229.174621582,107060.0,-681314.340548,4632055.49709,0,0.0,417.953264779
58,0,404.300018311,0.0,48.4216194153,2569.1472168,-2918.125,748685.659452,4172055.49709,0,1160.32840832,20588.1705671
59,0,410.799987793,8.0,5.83629083633,1907.44189453,1974.0625,1698685.65945,4892055.49709,0,26617.9191103,36396.6142044
60,0,0.0,0.0,0.0,369.723602295,-978.25,-2141314.34055,4182055.49709,0,0.0,125.626107719
61,0,395.799987793,0.0,43.3941078186,1666.84777832,1834.6875,538685.659452,3902055.49709,0,2633.19214445,14715.3694808
62,0,0.0,0.0,0.0,0.0,0.0,888685.659452,2332055.49709,0,2662.90689159,6712.40657081
