,cluster,NPP,Light,SO2,NO2,LSTV,X,Y,code,yTest,yPred
73,4,83.0,0.0,0.0,224.989028931,5221.875,-901314.340548,3562055.49709,0,0.0,3129.66910674
74,4,147.399993896,0.0,5.33120346069,168.02204895,6040.125,-411314.340548,3892055.49709,0,5295.61398507,2730.69627829
75,4,0.0,0.0,0.0,176.794692993,-3031.3125,-2051314.34055,3972055.49709,0,0.0,-233.242737683
76,4,105.599998474,0.0,0.0,276.910522461,210005.1875,528685.659452,4862055.49709,0,105.95215691,1845.30900437
77,4,453.899993896,0.0,0.0,573.872192383,1984.0625,498685.659452,2742055.49709,0,506.348827904,11095.6506281
78,4,0.0,0.0,0.0,0.0,0.0,938685.659452,2312055.49709,0,21.6797603816,7222.2685889
79,4,0.0,0.0,0.0,239.956680298,-1039.0625,-1901314.34055,4292055.49709,0,0.0,-422.014016728
80,4,275.399993896,0.0,4.08213853836,958.415466309,1495.9375,1048685.65945,4612055.49709,0,14029.5741371,8981.29561874
81,4,200.800003052,9.0,65.806968689,3738.02587891,3768.0,708685.659452,4342055.49709,0,91936.5816154,50328.3009653
82,4,604.099975586,0.0,0.0,211.88053894,4160.9375,-321314.340548,3422055.49709,0,2.65136003867,6080.5635026
83,4,197.399993896,0.0,44.0695877075,1276.40246582,-10528.375,308685.659452,4402055.49709,0,2761.44078854,10054.0056832
84,4,198.299987793,6.0,21.7221298218,596.698791504,1778.8125,158685.659452,4402055.49709,0,39789.0670888,20174.3047548
85,4,0.0,0.0,0.0,319.093139648,6942.375,-921314.340548,4902055.49709,0,0.0,-79.5424602844
86,4,617.699951172,0.0,0.0,785.698425293,-3218.625,598685.659452,2552055.49709,0,111.498830765,13824.5173525
87,4,305.5,0.0,19.8298950195,480.565856934,-2750.0,1708685.65945,5442055.49709,0,0.000780000002123,4312.38306307
88,4,0.0,0.0,2.38238716125,249.767700195,-18.875,-961314.340548,4842055.49709,0,58531.8047211,-480.279383088
89,4,945.499938965,0.0,38.5034637451,1061.82189941,-2204.625,738685.659452,2342055.49709,0,100.307098398,17292.0301254
90,4,0.0,0.0,0.0,229.92338562,442.875,-441314.340548,4512055.49709,0,1748.59273577,1027.15721578
91,4,546.799987793,6.0,163.001464844,3345.01513672,723.3125,1318685.65945,4062055.49709,0,10807.8389801,41942.8678489
92,4,0.0,0.0,0.0,225.867126465,-1154.625,-1021314.34055,4412055.49709,0,0.0,429.772503349
93,4,816.099975586,5.0,0.0,206.848129272,-7825.625,-1241314.34055,2942055.49709,0,0.0,19195.2192126
94,4,1099.19995117,0.0,0.0,1030.76757813,-5869.8125,1148685.65945,2552055.49709,0,5477.28564468,18047.7577825
95,4,583.599975586,0.0,0.0,661.268859863,1503.375,338685.659452,2932055.49709,0,2339.00298468,11436.1648335
96,4,0.0,0.0,2.35407018661,316.828094482,1539.0625,-721314.340548,4382055.49709,0,205.68993701,1555.58719784
97,4,0.0,0.0,18.008266449,249.27796936,3406.125,-881314.340548,4772055.49709,0,0.0,-348.182988723
98,4,1490.5,0.0,9.00542926788,356.312957764,2251.5,-301314.340548,2372055.49709,0,111.539203659,12942.6426014
99,4,86.3999938965,0.0,0.0,323.118774414,-623.5,548685.659452,4782055.49709,0,214.083458064,2703.58597008
100,4,0.0,0.0,0.0470804721117,216.286697388,-22363.5625,-2231314.34055,3512055.49709,0,0.0,1037.11101275
101,4,0.0,0.0,0.0,315.637084961,963.5625,-931314.340548,4882055.49709,0,0.0,-55.2018862264
102,4,65.7000045776,0.0,0.0,311.606048584,895.5,-1501314.34055,5182055.49709,0,918.49708168,-1468.95213422
103,4,118.400001526,0.0,0.0,311.535095215,4476.75,-1731314.34055,5132055.49709,0,0.0,-1489.24531946
104,4,0.0,0.0,0.0,120.033088684,-826.75,-921314.340548,4152055.49709,0,105.24464428,514.813336696
105,4,395.299987793,0.0,15.8941860199,902.01184082,-4446.3125,1938685.65945,5072055.49709,0,2859.6908279,8959.50153942
106,4,268.199981689,0.0,18.512796402,851.905578613,-694.0625,1748685.65945,5272055.49709,0,3801.7795597,7321.33067961
107,4,420.299987793,5.0,0.0,566.955871582,3383.5625,488685.659452,3322055.49709,0,3814.89591732,21813.8163382
108,4,187.5,0.0,0.0,88.3074188232,13229.9375,-1381314.34055,3082055.49709,0,0.0,3098.08873245
109,4,521.699951172,0.0,30.368932724,668.46661377,506.625,-71314.3405484,2582055.49709,0,1984.77870279,11296.930197
110,4,0.0,0.0,0.0,317.677642822,215179.625,448685.659452,4632055.49709,0,14.0892493684,2246.57156613
111,4,0.0,0.0,9.38676548004,168.561279297,10686.625,-2051314.34055,3442055.49709,0,0.0,993.510448696
112,4,155.599990845,0.0,2.63661408424,218.735046387,70.625,-1321314.34055,3282055.49709,0,0.0,3459.05284039
113,4,0.0,0.0,0.0,302.657867432,988.5,-361314.340548,4322055.49709,0,0.0,2158.54780026
114,4,0.0,0.0,0.0,239.945587158,-1803.0625,-531314.340548,4452055.49709,0,0.0,1130.92097086
115,4,488.899963379,0.0,38.5956420898,777.614074707,941.75,588685.659452,3082055.49709,0,1303.02520629,11494.7489638
116,4,337.299987793,7.0,16.9918880463,587.41986084,-939.3125,-31314.3405484,3772055.49709,0,40232.1409829,24533.6458075
117,4,709.799987793,0.0,0.0,636.349853516,2905.375,538685.659452,2272055.49709,0,16720.1745874,13738.8734079
118,4,0.0,0.0,0.0,0.0,214777.8125,548685.659452,2172055.49709,0,13595.3711269,6664.89829412
119,4,0.0,0.0,0.0,136.22328186,-23793.0625,-821314.340548,4052055.49709,0,5236.30721395,1077.37694522
120,4,918.699951172,0.0,0.0,0.0,0.0,1498685.65945,2962055.49709,0,52647.1952621,9541.95171429
121,4,301.299987793,0.0,0.0,563.766296387,4800.3125,-191314.340548,3942055.49709,0,2695.93237473,6308.38222014
122,4,0.0,0.0,0.0,107.128860474,-13652.1875,-2171314.34055,4132055.49709,0,0.0,-1304.00888572
123,4,596.399963379,6.0,54.7134780884,3008.0715332,135.625,1368685.65945,3632055.49709,0,36411.356222,42055.0075658
124,4,428.199981689,6.0,17.6848888397,2096.05029297,989.125,878685.659452,3352055.49709,0,20219.193423,35433.9316018
125,4,263.399993896,0.0,0.0,258.300292969,-148.5625,1308685.65945,5762055.49709,0,723.273019388,1367.95235323
126,4,0.0,0.0,0.0,146.036087036,-1274.375,-1001314.34055,4052055.49709,0,0.0,848.749675218
127,4,534.599975586,0.0,26.4610500336,1350.64025879,-660.625,1038685.65945,3262055.49709,0,2484.22384665,16000.7600254
128,4,444.399993896,8.0,0.0,1036.98962402,2673.0625,448685.659452,3582055.49709,0,121288.137033,31935.7993855
129,4,0.0,0.0,0.0,324.431335449,3422.5,-2421314.34055,4402055.49709,0,492.979934804,-874.330471537
130,4,1435.0,0.0,17.8794631958,346.101623535,-485.4375,-511314.340548,2392055.49709,0,1360.26385267,12233.4846294
131,4,583.199951172,26.0,0.0,681.230895996,2507.5,1308685.65945,2882055.49709,0,238997.45846,77785.7894505
132,4,487.999969482,0.0,40.8583068848,786.692321777,-2027.5,548685.659452,2932055.49709,0,2314.85310226,11877.347784
133,4,96.0,0.0,11.6909799576,138.108551025,-950.8125,-1851314.34055,3262055.49709,0,0.0,1877.96635912
134,4,32.1999969482,0.0,5.33643531799,146.716140747,-5872.25,-1681314.34055,3312055.49709,0,0.0,1900.05628211
135,4,0.0,0.0,0.806143939495,141.704544067,-7685.6875,-2001314.34055,3622055.49709,0,0.0,517.951347772
136,4,0.0,0.0,0.0,404.374237061,815.75,-1151314.34055,4622055.49709,0,0.0,943.206921374
137,4,344.299987793,0.0,72.6445388794,1604.46252441,-2809.3125,448685.659452,3802055.49709,0,208.159464037,14374.4780745
138,4,0.0,0.0,9.57255363464,226.980651855,394.8125,-681314.340548,4592055.49709,0,0.0,350.789686588
139,4,0.0,0.0,0.0,225.209091187,-5832.0625,-1981314.34055,4162055.49709,0,524.388417302,-288.971287988
140,4,539.299987793,0.0,18.785243988,1447.00280762,1767.25,518685.659452,3882055.49709,0,775.588656247,14379.6667632
141,4,198.599990845,0.0,0.0,0.0,520783.8125,798685.659452,5222055.49709,0,0.0,-876.482951768
142,4,0.0,0.0,0.0,239.746109009,1220.3125,-1761314.34055,4372055.49709,0,0.0,-437.394810656
143,4,0.0,0.0,5.1335310936,823.435424805,-22119.625,-1461314.34055,4652055.49709,0,263.416936353,3362.69183507
144,4,666.200012207,0.0,0.0,0.0,110340.1875,-1131314.34055,2902055.49709,0,0.0,4831.56218694
145,4,489.299987793,0.0,28.0425853729,283.295471191,-3496.125,-481314.340548,2752055.49709,0,4357.16443776,7451.88466365
146,4,0.0,0.0,4.0226149559,190.885818481,-5288.875,-1581314.34055,3902055.49709,0,0.0,692.259466731
147,4,1072.59997559,0.0,0.0,848.559509277,-1790.25,848685.659452,2692055.49709,0,2706.39843829,15856.9900483
148,4,473.899993896,0.0,0.0,631.79498291,-2105.8125,328685.659452,3152055.49709,0,3134.60097217,10250.7818682
149,4,318.100006104,0.0,0.0,430.526763916,-2353.1875,1218685.65945,5442055.49709,0,0.0,3498.40879273
150,4,269.999969482,0.0,8.56060791016,475.866943359,6089.4375,-151314.340548,3962055.49709,0,4827.3166942,5492.64925478
151,4,417.200012207,0.0,15.8993406296,601.491088867,-1524.5,368685.659452,2632055.49709,0,132.980731343,11109.2089166
152,4,454.299987793,0.0,64.7796554565,1320.41064453,1028.9375,158685.659452,2842055.49709,0,2244.90273117,14954.4634135
153,4,0.0,0.0,0.0,340.705078125,924.0,-2221314.34055,4452055.49709,0,0.0,-599.20504751
154,4,0.0,0.0,0.0,167.087387085,-7919.875,-951314.340548,4252055.49709,0,0.0,551.008827739
155,4,0.0,0.0,0.0,183.799819946,-3115.25,-881314.340548,3882055.49709,0,0.0,1741.95119668
156,4,0.0,0.0,0.0,121.257446289,6552.375,-1661314.34055,3812055.49709,0,0.0,344.488557109
157,4,0.0,0.0,3.24562311172,219.227355957,-2733.25,-1761314.34055,4312055.49709,0,0.0,-449.722310507
158,4,1022.29998779,39.0,2.89769244194,834.785461426,69.25,728685.659452,2522055.49709,0,44885.5815292,112848.07211
159,4,165.099990845,55.0,87.3012542725,1861.3704834,-1969.8125,-1371314.34055,4872055.49709,0,60376.7732451,146772.15497
160,4,0.0,0.0,0.0,164.341400146,2974.75,-681314.340548,3952055.49709,0,0.0,1697.1348557
161,4,893.0,18.0,12.3779277802,314.188232422,-8477.6875,-261314.340548,2552055.49709,0,6289.78498056,54885.3773632
162,4,655.0,0.0,30.2376079559,801.216552734,4523.0,668685.659452,2752055.49709,0,11993.3914977,13314.8686589
163,4,204.499984741,59.0,0.356138706207,432.212432861,1277.5,1088685.65945,5342055.49709,0,18921.6892002,149953.162566
164,4,0.0,0.0,0.0,108.066970825,7769.0,-1381314.34055,4062055.49709,0,0.0,-9.24037700245
165,4,13.8000001907,0.0,13.6069498062,1450.12426758,573.0625,558685.659452,3612055.49709,0,56330.6947921,13379.6098455
166,4,193.399993896,6.0,0.0,0.0,432846.8125,818685.659452,2312055.49709,0,51764.4742894,21919.0099516
167,4,234.699996948,0.0,7.79129219055,218.13243103,3246.0,-991314.340548,3362055.49709,0,0.0,3939.19381445
168,4,19.0999984741,0.0,0.0,170.411026001,8006.875,-1801314.34055,3462055.49709,0,0.0,1481.65814114
169,4,0.0,0.0,0.0,438.560699463,-1568.3125,-2141314.34055,4532055.49709,0,0.0,-0.498506235675
170,4,54.7999992371,0.0,0.0,136.150726318,-11066.1875,-551314.340548,4072055.49709,0,0.0,1584.45937714
171,4,1106.5,0.0,29.0707778931,897.874328613,1430.1875,1028685.65945,2602055.49709,0,9204.50813181,16520.5008866
172,4,1630.80004883,0.0,0.0,595.314208984,109419.125,-1181314.34055,2902055.49709,0,0.0,12360.6100964
173,4,531.899963379,0.0,65.6772155762,1757.84814453,208.625,718685.659452,3202055.49709,0,15705.8279512,18162.7862661
174,4,0.0,0.0,0.0,195.515045166,-3025.3125,-1801314.34055,4192055.49709,0,0.0,-323.352258317
175,4,216.699981689,0.0,0.0,373.151306152,1507.5,1028685.65945,5402055.49709,0,1425.77161797,2561.68915426
176,4,640.199951172,0.0,6.15086317062,714.335754395,1983.75,938685.659452,2792055.49709,0,1525.35320393,13182.6734217
177,4,0.0,0.0,0.0,0.0,0.0,888685.659452,2332055.49709,0,2662.90689159,7097.18557234
178,4,473.999969482,0.0,6.65737485886,876.198852539,423.3125,1028685.65945,2762055.49709,0,2526.66387298,13947.3805354
179,4,487.299987793,0.0,44.1288375854,942.880187988,-188.5,208685.659452,3292055.49709,0,260066.720586,11497.3759049
180,4,97.5,0.0,0.0,134.684127808,-11588.8125,-251314.340548,3302055.49709,0,245.027394096,4197.72127533
181,4,0.0,0.0,0.0,272.701416016,716.0,-1141314.34055,4542055.49709,0,0.0,239.890515692
182,4,0.0,0.0,34.1584892273,680.116760254,3156.0,-891314.340548,4662055.49709,0,10208.1738155,2806.92112636
183,4,0.0,6.0,52.3980865479,609.385742188,-3997.3125,-221314.340548,4132055.49709,0,4111.44184981,19430.0110166
184,4,0.0,0.0,0.0,276.956237793,-1028.6875,-1491314.34055,4472055.49709,0,0.0,-46.3613931209
185,4,0.0,0.0,0.0,272.668182373,-7991.6875,-1281314.34055,4552055.49709,0,0.0,26.114808889
186,4,0.0,0.0,0.0,278.509643555,349.1875,-2121314.34055,4432055.49709,0,0.0,-840.247630859
187,4,70.9999923706,0.0,0.0,151.672653198,4055.8125,-991314.340548,3722055.49709,0,0.0,2018.03581879
188,4,528.299987793,0.0,39.7198257446,1086.18115234,20.125,48685.6594516,3212055.49709,0,80420.5064424,12679.4843072
189,4,315.200012207,0.0,27.3251361847,1449.13720703,2909.125,528685.659452,3942055.49709,0,2582.4214248,13372.256272
190,4,357.600006104,7.0,60.1360397339,4250.11376953,1996.0,1008685.65945,4402055.49709,0,51150.4828195,49855.5951458
191,4,0.0,0.0,0.0,370.5859375,-477.5625,-2141314.34055,4212055.49709,0,0.0,365.337799331
192,4,369.199981689,7.0,172.187088013,2808.52026367,2850.0,548685.659452,3962055.49709,0,2987.85883159,39074.0379038
193,4,889.599975586,8.0,0.581496417522,1122.15551758,-3078.125,1328685.65945,2722055.49709,0,16540.4676575,37655.5056549
194,4,916.099975586,0.0,3.90240478516,254.406768799,3338.625,-381314.340548,2622055.49709,0,917.658027579,9473.5421315
195,4,79.1999969482,0.0,2.13140249252,159.655273438,-5068.6875,-671314.340548,3442055.49709,0,0.0,3300.26642049
