ID,TE,NPP,Light,SO2,NO2,LSTV,X,Y,name1,name2,CODE,cluster
63662.0,54892.1489617,343.200012207,22.0,73.7208328247,3325.18408203,-975.8125,908685.659452,4302055.49709,北京市,北京,11.0,0
63663.0,116429.474187,301.0,14.0,73.7208328247,3325.18408203,97.3125,918685.659452,4302055.49709,北京市,北京,11.0,0
63666.0,98876.171408,295.699981689,42.0,127.389701843,6214.47998047,183.625,948685.659452,4302055.49709,北京市,北京,11.0,0
63667.0,133115.522411,339.499969482,10.0,127.389701843,6214.47998047,787.1875,958685.659452,4302055.49709,北京市,北京,11.0,0
64042.0,7394.65740279,251.800003052,6.0,71.9776611328,2726.94042969,1455.6875,888685.659452,4312055.49709,北京市,北京,11.0,0
64043.0,7400.71255262,113.199996948,0.0,71.9776611328,2726.94042969,-2464.375,898685.659452,4312055.49709,北京市,北京,11.0,0
64044.0,4123.4935996,161.599990845,8.0,73.7208328247,3325.18408203,-2302.5,908685.659452,4312055.49709,北京市,北京,11.0,0
64045.0,1557042.12882,0.0,29.0,73.7208328247,3325.18408203,-2322.0,918685.659452,4312055.49709,北京市,北京,11.0,3
64046.0,1178440.51319,313.200012207,33.0,73.7208328247,3325.18408203,4909.875,928685.659452,4312055.49709,北京市,北京,11.0,3
64047.0,155822.466773,310.299987793,14.0,127.389701843,6214.47998047,-358.3125,938685.659452,4312055.49709,北京市,北京,11.0,0
64048.0,141857.534764,322.699981689,35.0,127.389701843,6214.47998047,-0.625,948685.659452,4312055.49709,北京市,北京,11.0,0
64049.0,107638.994892,336.0,13.0,127.389701843,6214.47998047,261.625,958685.659452,4312055.49709,北京市,北京,11.0,0
64050.0,93502.5397373,353.799987793,12.0,125.177017212,6470.50439453,46.1875,968685.659452,4312055.49709,北京市,北京,11.0,0
64425.0,30789.4825493,186.899993896,0.0,44.9249153137,2842.95727539,-4760.8125,888685.659452,4322055.49709,北京市,北京,11.0,0
64426.0,24674.4537133,398.199981689,0.0,44.9249153137,2842.95727539,-2028.8125,898685.659452,4322055.49709,北京市,北京,11.0,0
64427.0,18789.1334777,120.5,7.0,87.8854522705,3768.22705078,2951.625,908685.659452,4322055.49709,北京市,北京,11.0,0
64428.0,10212237.4474,0.0,61.0,87.8854522705,3768.22705078,-3768.0625,918685.659452,4322055.49709,北京市,北京,11.0,1
64429.0,2166413.36964,0.0,60.0,87.8854522705,3768.22705078,2309.8125,928685.659452,4322055.49709,北京市,北京,11.0,4
64430.0,699507.151283,0.0,50.0,91.1523132324,5943.38525391,2408.375,938685.659452,4322055.49709,北京市,北京,11.0,6
64431.0,539658.96755,211.699996948,63.0,91.1523132324,5943.38525391,-1256.25,948685.659452,4322055.49709,北京市,北京,11.0,6
64432.0,788862.877483,199.399993896,26.0,91.1523132324,5943.38525391,1234.9375,958685.659452,4322055.49709,北京市,北京,11.0,6
64433.0,173624.183469,261.799987793,25.0,122.225662231,7288.40722656,-1448.4375,968685.659452,4322055.49709,北京市,北京,11.0,0
64434.0,217221.732936,322.299987793,42.0,122.225662231,7288.40722656,-1799.375,978685.659452,4322055.49709,北京市,北京,11.0,0
64435.0,183241.77227,362.0,30.0,122.225662231,7288.40722656,1159.4375,988685.659452,4322055.49709,北京市,北京,11.0,0
64811.0,2479.14549651,145.699996948,0.0,44.9249153137,2842.95727539,8325.625,888685.659452,4332055.49709,北京市,北京,11.0,0
64812.0,4682.94109194,294.899993896,0.0,44.9249153137,2842.95727539,-2539.1875,898685.659452,4332055.49709,北京市,北京,11.0,0
64813.0,54250.583383,347.199981689,6.0,87.8854522705,3768.22705078,300.5625,908685.659452,4332055.49709,北京市,北京,11.0,0
64814.0,264883.173117,126.399993896,16.0,87.8854522705,3768.22705078,-380.125,918685.659452,4332055.49709,北京市,北京,11.0,6
64815.0,194862.419039,366.399993896,34.0,87.8854522705,3768.22705078,-3396.3125,928685.659452,4332055.49709,北京市,北京,11.0,0
64816.0,2020879.43206,0.0,59.0,91.1523132324,5943.38525391,3992.5,938685.659452,4332055.49709,北京市,北京,11.0,4
64817.0,1862046.0308,0.0,63.0,91.1523132324,5943.38525391,1509.25,948685.659452,4332055.49709,北京市,北京,11.0,4
64818.0,1911425.64637,0.0,63.0,91.1523132324,5943.38525391,1829.8125,958685.659452,4332055.49709,北京市,北京,11.0,4
64819.0,1492699.68251,0.0,63.0,122.225662231,7288.40722656,1991.6875,968685.659452,4332055.49709,北京市,北京,11.0,3
64820.0,276403.016241,345.599975586,41.0,122.225662231,7288.40722656,-212.9375,978685.659452,4332055.49709,北京市,北京,11.0,6
64821.0,262992.151,338.0,26.0,122.225662231,7288.40722656,-1316.4375,988685.659452,4332055.49709,北京市,北京,11.0,6
64822.0,127927.862449,400.899963379,37.0,121.152618408,6221.09033203,-1163.75,998685.659452,4332055.49709,北京市,北京,11.0,0
65201.0,30892.3889328,0.0,0.0,44.9249153137,2842.95727539,-2624.3125,878685.659452,4342055.49709,北京市,北京,11.0,0
65202.0,21738.8885975,454.0,0.0,44.9249153137,2842.95727539,4112.25,888685.659452,4342055.49709,北京市,北京,11.0,0
65203.0,24950.4392931,340.899993896,0.0,44.9249153137,2842.95727539,-7231.875,898685.659452,4342055.49709,北京市,北京,11.0,0
65204.0,1903.5544069,188.099990845,0.0,87.8854522705,3768.22705078,-5438.5,908685.659452,4342055.49709,北京市,北京,11.0,0
65205.0,26496.1342965,169.199996948,9.0,87.8854522705,3768.22705078,-6466.5625,918685.659452,4342055.49709,北京市,北京,11.0,0
65206.0,1153625.65764,103.900001526,61.0,87.8854522705,3768.22705078,516.4375,928685.659452,4342055.49709,北京市,北京,11.0,3
65207.0,12618189.3225,0.0,63.0,91.1523132324,5943.38525391,2390.75,938685.659452,4342055.49709,北京市,北京,11.0,5
65208.0,6459227.63167,0.0,63.0,91.1523132324,5943.38525391,2690.125,948685.659452,4342055.49709,北京市,北京,11.0,2
65209.0,7376521.23704,0.0,63.0,91.1523132324,5943.38525391,-270.125,958685.659452,4342055.49709,北京市,北京,11.0,2
65210.0,8941348.56871,0.0,63.0,122.225662231,7288.40722656,85.125,968685.659452,4342055.49709,北京市,北京,11.0,1
65211.0,942012.994593,0.0,61.0,122.225662231,7288.40722656,2459.4375,978685.659452,4342055.49709,北京市,北京,11.0,3
65212.0,301870.285184,0.0,36.0,122.225662231,7288.40722656,-1780.0,988685.659452,4342055.49709,北京市,北京,11.0,6
